time,pos
0.,0
0.2845878133730224,-1
0.6973902116873063,-2
1.0441332052704837,-3
1.820060852572425,-2
2.5012255560713044,-1
2.55722200579595,0
2.5710879566294977,1
3.608426623243517,2
3.8710473114049933,3
4.760250137502183,4
5.0331660303242245,3
5.781488657559876,4
5.967608058440916,5
6.053450515341979,4
6.287231631188689,3
7.151187994190394,2
7.219435424266507,1
7.410959117026366,0
7.726680913975187,1
9.195692834201296,2
9.397314452631306,1
10.00989146722739,2
10.170198310665853,1
10.41806850379379,0
10.508643920685927,1
10.81310486616222,2
10.83313485180075,1
11.602573427594365,0
11.629973432619906,-1
11.63457725493518,0
11.922966417522446,-1
12.451332038188866,0
13.178447077425261,1
13.355540045909066,0
13.656718135386186,1
13.759007499300907,2
14.024765663597137,3
14.791828822408377,4
14.820337285070835,3
15.113279272857255,4
15.755198350024301,3
15.875959611304253,4
16.05251136210481,5
16.287103881412918,6
17.109895627317613,5
17.82999356750743,6
18.089086223798418,5
18.265556739255203,6
18.42978424475659,5
18.84188677015632,6
18.982570582885856,7
21.489398022067732,8
22.560751224934663,7
22.563112019883192,6
24.473353193264046,5
24.527985045219353,4
24.803391239598938,5
27.57548721035954,4
28.29092698484621,3
28.758781675788015,4
28.82471255796287,3
28.834319546227903,2
28.999736923691586,3
29.093959520729783,4
29.16944744228084,3
29.862004347155704,2
29.908440255837178,1
31.700260634477047,0
33.11760913800117,1
33.2498968755674,0
33.25655656858734,1
33.281487159672594,0
33.78891075262857,-1
33.85934495864774,0
34.001240578405344,1
34.67036273547632,2
34.99317757788452,1
35.19600002540878,0
36.1391521623604,1
36.27658657296533,0
36.321417803420985,1
37.606218515753056,0
39.39787579494842,-1
39.4926335343489,0
39.68037569845271,1
39.88726588247411,0
40.73956366451881,-1
40.89475503499568,-2
40.95465978568623,-3
41.8534990815221,-2
42.08660475119444,-1
42.763903199759255,0
44.484897274062035,-1
44.485839905599306,0
45.11934943343036,1
45.5879791471975,0
45.69213504291355,1
45.71580348494874,2
45.73541556727065,3
46.153859593077414,4
46.773873664438895,5
47.059156172282,4
47.4177398790404,5
48.02236536033212,6
49.26044407531609,5
49.5920894758971,6
49.667148787101894,7
49.9088451722738,6
50.82228135375388,7
51.57690389194951,8
51.62294607335892,9
52.344921273494805,8
52.5144283155733,9
52.69275812735583,8
52.70634727689031,9
53.922089390303,10
55.041967525475286,9
55.16003882520022,8
55.45900359423197,7
55.717034851709144,6
55.76843118993412,5
56.8127997018934,6
56.93977325605326,5
57.10608281769237,4
57.37156154513906,3
57.70589325370611,4
58.03588249535068,5
58.2629808492907,4
58.287911588532126,5
58.524378421843295,6
58.54200304895642,7
58.58150772147903,8
59.53578169655725,9
60.44140693999046,10
61.090235781450644,9
63.29940240352846,8
64.24159261126522,9
64.38328864049686,10
64.41151309491161,9
64.73514937383786,8
65.59510369857665,7
65.85236098665689,6
66.3339445513729,5
66.93198292660983,4
66.9558354694272,3
67.05935583674142,2
67.71822108643298,3
69.23633969336879,2
69.7573387216274,1
70.41058950954951,2
71.22964375565383,1
72.22196277174874,0
72.65416176318996,1
72.95173833514158,0
72.99567073329914,1
73.29942516026716,2
73.41998661465371,1
74.75100221855033,2
74.8906464256614,1
75.27895414715593,2
76.50337411900028,1
76.57512421203768,2
77.32675922239977,1
77.64545862066427,0
77.79483349091282,-1
78.02116086401318,0
78.11950721171675,-1
78.1332372440244,-2
78.60790323725806,-1
79.92663631767692,0
80.12400165815711,-1
80.42534583932627,-2
80.55519091035907,-1
81.0745628588534,0
81.47331229041532,1
81.63166666346055,2
82.21153656386474,3
84.93181154109831,2
84.9521653605619,1
85.66557581672532,2
86.1295965022139,1
86.47391543527769,2
86.56630047803125,3
87.71421231320346,4
89.28203842434064,5
89.77198954034293,6
90.65694747317082,7
91.59223432783091,8
92.04291535697283,7
92.60529135230848,8
92.83313549643233,7
93.06892385806503,6
93.10966947556733,5
93.33767152897056,6
93.38998632700859,7
93.57717473297404,6
93.76553080008719,5
94.43130523363789,4
94.53468910497128,3
94.66169581972622,2
94.82219997025211,1
94.83041336535558,2
94.96658968026216,1
95.25611408607105,0
95.70306901362596,-1
95.74170651297652,0
96.89810821690287,-1
97.9612182436376,0
98.11927854698163,1
98.20214492606948,0
98.69519612481247,-1
99.05795844554828,-2
99.67717800258939,-1
100.,-1
